assay_chembl_id,n_records,n_compounds,types,year,confidence_score,cell_name,description
CHEMBL5734036,348,114,IC50|k_off|kon,2019.0,9,,hERG receptor binding assay: TBD
CHEMBL5733977,348,116,IC50|k_off|kon,2018.0,9,,"Inhibition Assay: Cells were split 2-3 times weekly between 1:3 and 1:4. For binding assays and membrane preparations the cell culture medium was removed, cells were washed with PBS. Crude membranes for radioligand binding experiments were prepared by scraping the cells off the dishes in ice cold 20 mM HEPES/0.1 mM KCl/pH 7.2. The cell suspension was homogenized on ice (Ultra turrax, 3×20 sec.) and the homogenate was spun for 10 min (1° C., 1000 g, OPTIMA, SW28, 2800 U/min). The supernatant was than centrifuged for 40 min at 100000 g (1° C., OPTIMA, SW28, 23000 U/min). The membrane pellet was resuspended in 20 mM HEPES/0.1 mM KCl/pH 7.2, frozen and stored at −80° C.After thawing on the day of the assay, the membrane suspension was diluted further with 20 mM HEPES/0.1 mM KCl/pH 7.2.The incubation mixture of 200 μl contained 1.5 nmol/l 3H-Dofetilide, optimized amount of membrane preparation, 20 mM HEPES/0.1 mM KCl/(pH 7.2) and inhibitor in 1% DMSO. Nonspecific binding was estimated in the presence of 10 M Dofetilide. The samples were incubated for 90 min. at RT.Binding was terminated by filtration of the incubated membrane preparations using Filtermat B (Pharmacia, Uppsala Sweden) and a Micro Cell Harvester (Skatron, Lier, Norway). The Filtermat B had been presoaked with 1% polyethylenimine and carefully washed with 0.05 M Tris/HCl-buffer pH=7.7 after the filtration to separate free and bound radioactivity. The filters were counted in a scintillation counter (Betaplate 1205, Berthold, Wildbad, Germany) in order to determine the specific binding of [3H]-Dofetilide."
CHEMBL5733769,348,108,IC50|k_off|kon,2018.0,9,,"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined."
CHEMBL5731865,309,102,IC50|k_off|kon,2018.0,9,,"Inhibition of Specific Binding to the hERG-Receptor (HERGBD): After thawing on the day of the assay, the membrane suspension was diluted further with 20 mM HEPES/0.1 mM KCl/pH 7.2.The incubation mixture of 200 μl contained 1.5 nmol/l 3H-Dofetilide, optimized amount of membrane preparation, 20 mM HEPES/0.1 mM KCl/(pH 7.2) and inhibitor in 1% DMSO. Nonspecific binding was estimated in the presence of 10 M Dofetilide. The samples were incubated for 90 min. at RT.Binding was terminated by filtration of the incubated membrane preparations using Filtermat B (Pharmacia, Uppsala Sweden) and a Micro Cell Harvester (Skatron, Lier, Norway). The Filtermat B had been presoaked with 1% polyethylen imine and carefully washed with 0.05 M Tris/HCl-buffer pH=7.7 after the filtration to separate free and bound radioactivity. The filters were counted in a scintillation counter (Betaplate 1205, Berthold, Wildbad, Germany) in order to determine the specific binding of [3H]-Dofetilide."
CHEMBL5739235,297,99,IC50|k_off|kon,2023.0,9,,"ERG Channel Binding Assay: Fluorescence polarization assay based on the principle of fluorescence polarization where a red-shifted fluorescent tracer is displaced from the hERG channel by compounds that bind to the channel was used to establish the binding of the compounds to hERG channel. Briefly, the compounds in serial dilutions were incubated with a membrane fraction containing hERG channel protein and a high-affinity red fluorescent hERG channel ligand in black 384-well plate. The reaction was incubated for 4 h at room temperature followed by the measurement of the fluorescence polarization using Tecan Spark multimode plate reader at excitation wavelength of 535 nm and emission wavelength 590 nm. The IC50 values were calculated using GraphPad Prism."
CHEMBL1827362,234,234,IC50|Ki,2011.0,9,,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay
CHEMBL5735005,228,76,IC50|k_off|kon,2020.0,9,,"In Vitro Toxicity: Representative sigma-2 antagonists test compounds do not induce neuronal or glial toxicity with acute or chronic dosing in vitro. The sigma-2 receptor antagonists eliminate or reduce Abeta oligomer-induced changes in membrane trafficking. No significant effect of compounds on membrane trafficking occurs when dosed without oligomers. There is no toxicity relative to neuron number, glial number, nuclear size, nuclear morphology, neurite length, cytoskeletal morphology when tested up to 10 times the EC50 concentration for three days. See, e.g., WO2013/029060, Table 12, which is incorporated herein by reference.In vitro toxicity for Test Compounds is tested in a number of standard assays. Preferrably, testing in vitro tox studies reveals there is no genotoxicity at 10 μM (AMES, micronucleus, bacterial cytotox); HepG2 toxicity at 100-fold above affinity at sigma-2 receptor, in HepG2 tumor cell line; inhibition of CYP 450 enzymes 2D6, 3A4, and 2C19 at 10 μM; and hERG inhibition."
CHEMBL5735025,219,63,IC50|k_off|kon,2020.0,9,,"Binding Assay : hERG (human ether go go-related gene) potassium channels are essential for normal electrical activity in the heart. Arrhythmia can be induced by a blockage of hERG channels by a diverse group of drugs. This side effect is a common reason for drug failure in preclinical safety trials and therefore minimisation of hERG channel blocking activity may be a desirable property for drug candidates.The purpose of the hERG binding assay is to evaluate the effects of test compounds on the voltage-dependent potassium channel encoded by the human ether go go-related gene (hERG) using a constitutively expressing CHO cell line on the Nanion Syncropatch 384PE automated patch clamp system.The assay was conducted as follows with all reagents used at room temperature unless otherwise stated.Reagent Preparations Include:1. Internal IC700 solution used to perfuse the underside of chip (in mM), KF 130, KCl 20, MgCl2 1, EGTA 10 and HEPES 10, (all Sigma-Aldrich; pH 7.2-7.3 using 10 M KOH, 320 mOsm) and supplemented with 25 □M escin.2. External and cell buffer (in mM), NaCl 137, KCl 4, HEPES 10, D-glucose 10, CaCl2 2, MgCl2 1 (pH7.4, NaOH)3. NMDG reference buffer used to establish a stable baseline prior to the addition of test compounds, NaCl 80, KCl 4, CaCl2 2, MgCl2 1, NMDG Cl 60, D-Glucose monohydrate 5, HEPES 10 (pH7.4 NaOH 298 mOsm)4. Seal enhancer used to improve seal quality of cells, NaCl 80, KCl 3, CaCl2 10, HEPES 10, MgCl2 1 (pH7.4 NaOH)"
CHEMBL5738104,207,68,IC50|k_off|kon,2022.0,9,,"Inhibitory Activity for hERG Channel: Extracellular and intracellular fluids used in the measurement were prepared as follows.Extracellular fluid: 2 mmol/L CaCl2, 1 mmol/L MgCl2, 10 mmol/L HEPES, 4 mmol/L KCl, 145 mmol/L NaCl, 10 mmol/L GlucoseIntracellular fluid: 10 mmol/L HEPES, 10 mmol/L EGTA, 20 mmol/L KCl, 130 mmol/L KFTest compound solution: A test compound was dissolved in DMSO to reach the concentration of 2 mmol/L or 20 mmol/L in order to prepare a test compound solution. The test compound solution was further diluted 200 times with the extracellular fluid, and serial-diluted with the extracellular fluid to prepare a test compound solution in each concentration which is necessary to calculate IC50 value of hERG inhibition."
CHEMBL5735953,189,45,IC50|k_off|kon,2020.0,9,,"Test for Evaluating hERG Inhibition: To a cultured CHO cell strain which stably expresses hERG was added each test compound to adjust the final concentration of DMSO to 0.0135 to 0.5%. The hERG current was measured with QPatch HT (Sophion Inc.), and the concentration at which 50% of the hERG current was inhibited by each test compound (IC50 value; μM) was calculated."
CHEMBL1676103,179,177,IC50|pIC50,2011.0,9,,Inhibition of human ERG
CHEMBL5734466,174,58,IC50|k_off|kon,2019.0,9,,"Inhibition Assay : Electrophysiological recordings were made from a Chinese Hamster Lung cell line stably expressing the full length hERG channel. Single cell ion currents were measured in the perforated patch clamp configuration (100 ug/mL amphoterocin) at room temperature using an IonWorks Quattro instrument. The internal solution contained 140 mM KCl, 1 mM MgCl2, 1 mM EGTA and 20 mM HEPES and was buffered to pH 7.3. The external solution contained 138 mM NaCl, 2.7 mM KCl, 0.9 mM CaCl2, 0.5 mM MgCl2, 8 mM Na2HPO4 and 1.5 mM KH2PO4, and was buffered to pH 7.3. Cells were clamped at a holding potential of 70 mV for 30 s and then stepped to +40 mV for 1 s. This was followed by a hyperpolarising step of 1 s to 30 mV to evoke the hERG tail current. This sequence was repeated 5 times at a frequency of 0.25 Hz. Currents were measured from the tail step at the 5th pulse, and referenced to the holding current. Compounds were incubated for 6-7 min prior to a second measurement of the hERG signal using an identical pulse train."
CHEMBL5735756,174,58,IC50|k_off|kon,2020.0,9,,"Inhibition Assay: hERG: Compounds of the invention were tested for inhibition of the human ether a go-go related gene (hERG) K+ channel using IonWorks patch clamp electrophysiology. 8 Point concentration-response curves were generated on two occasions using 3-fold serial dilutions from the maximum assay concentration (11 uM). Electrophysiological recordings were made from a Chinese Hamster Lung cell line stably expressing the full length hERG channel. Single cell ion currents were measured in the perforated patch clamp configuration (100 ug/mL amphoterocin) at room temperature using an IonWorks Quattro instrument. The internal solution contained 140 mM KCl, 1 mM MgCl2, 1 mM EGTA and 20 mM HEPES and was buffered to pH 7.3. The external solution contained 138 mM NaCl, 2.7 mM KCl, 0.9 mM CaCl2, 0.5 mM MgCl2, 8 mM Na2HPO4 and 1.5 mM KH2PO4, and was buffered to pH 7.3. Cells were clamped at a holding potential of 70 mV for 30 s and then stepped to +40 mV for 1 s. This was followed by a hyperpolarising step of 1 s to 30 mV to evoke the hERG tail current."
CHEMBL5734464,174,57,IC50|k_off|kon,2018.0,9,,"HERG Assay : Compounds of the invention were tested for inhibition of the human ether a go-go related gene (hERG) K+ channel using IonWorks patch clamp electrophysiology. 8 Point concentration-response curves were generated on two occasions using 3-fold serial dilutions from the maximum assay concentration (11 uM). Electrophysiological recordings were made from a Chinese Hamster Lung cell line stably expressing the full length hERG channel. Single cell ion currents were measured in the perforated patch clamp configuration (100 ug/mL amphoterocin) at room temperature using an IonWorks Quattro instrument. The internal solution contained 140 mM KCl, 1 mM MgCl2, 1 mM EGTA and 20 mM HEPES and was buffered to pH 7.3. The external solution contained 138 mM NaCl, 2.7 mM KCl, 0.9 mM CaCl2, 0.5 mM MgCl2, 8 mM Na2HPO4 and 1.5 mM KH2PO4, and was buffered to pH 7.3. Cells were clamped at a holding potential of 70 mV for 30 s and then stepped to +40 mV for 1 s. This was followed by a hyperpolarising step of 1 s to 30 mV to evoke the hERG tail current. This sequence was repeated 5 times at a frequency of 0.25 Hz. Currents were measured from the tail step at the 5th pulse, and referenced to the holding current. Compounds were incubated for 6-7 min prior to a second measurement of the hERG signal using an identical pulse train."
CHEMBL5731674,144,46,IC50|k_off|kon,2018.0,9,,"hERG Binding Assay: hERG (human ether go go-related gene) potassium channels are essential for normal electrical activity in the heart. Arrhythmia can be induced by a blockage of hERG channels by a diverse group of drugs. This side effect is a common reason for drug failure in preclinical safety trials [Sanguinetti et al., Nature, 2006, 440, 463-469.] and therefore minimisation of hERG channel blocking activity may be a desirable property for drug candidates.The purpose of the hERG binding assay is to evaluate the effects of test compounds on the voltage-dependent potassium channel encoded by the human ether go go-related gene (hERG) using a constitutively expressing CHO cell line on the Nanion Syncropatch 384PE automated patch clamp system."
CHEMBL3880847,142,142,IC50,2009.0,9,CHO,Inhibition of human ERG expressed in CHO cells incubated for 10 mins after 3 hrs incubation with Rb+-load buffer by atomic absorption spectrometry based Rb+ efflux assay
CHEMBL1027667,140,113,IC50|Ki,2009.0,9,,Inhibition of human ERG channel
CHEMBL3887897,120,107,IC50,2016.0,8,,"Inhibition Assay: Test Example 5: The hERG potassium current was measured in a hERG-stably-expressing Chinese hamster ovary K1 (CHO) cells. The experiments were performed using an automated planar patch-clamp system QPatch HTX (Sophion Bioscience A/S). The application of pressure for forming gigaseals and whole-cell patch clamp configuration were established using the QPatch assay software. Patch-clamp experiments were performed in voltage-clamp mode and whole-cell currents were recorded. The following stimulation protocol was applied to investigate the effects of compounds on hERG potassium channel. The test solution includes:Extracellular solution: 2 mM of CaCl2, 1 mM of MgCl2, 10 mM of HEPES, 4 mM of KCl, 145 mM of NaCl, and 10 mM of glucose; and pH adjusted to 7.4 with NaOH,Intracellular solution: 5.374 mM of CaCl2, 1.75 mM of MgCl2, 10 mM of HEPES, 10 mM of EGTA, 120 mM of KCl, and 4 mM of ATP, and pH adjusted to 7.2 with KOH."
CHEMBL3705667,120,106,IC50,2015.0,9,,"Inhibition Assay: The hERG potassium current was measured in a hERG-stably-expressing Chinese hamster ovary K1 (CHO) cells. The experiments were performed using an automated planar patch-clamp system QPatch HTX (Sophion Bioscience A/S). The application of pressure for forming gigaseals and whole-cell patch clamp configuration were established using the QPatch assay software. Patch-clamp experiments were performed in voltage-clamp mode and whole-cell currents were recorded. The following stimulation protocol was applied to investigate the effects of compounds on hERG potassium channel.The membrane potential was held at −80 mV and repetitively (every 15 seconds) depolarized to +20 mV for 4800 milliseconds after the pulse to −50 mV for 20 milliseconds served to define the baseline, followed by repolarizing step to −50 mV for 5000 milliseconds to evaluate of the tail current amplitude. Experiments were conducted at room temperature."
CHEMBL5738979,117,39,IC50|k_off|kon,2023.0,9,,hERG Assay: The test compounds were added to cultured hERG (human Ether-a-go-go Related Gene) gene stably expressing CHO cell line cells to achieve 0.27 to 100 μM. The hERG current under electric potential stimulation was measured using Qube384 (Sophion Bioscience) to calculate the concentration at which each test compound suppresses 50% hERG current (IC50 value; μM).
CHEMBL1614446,115,114,EC50,,9,,PUBCHEM_BIOASSAY: Confirmation Dose Response screen for compounds that protect hERG from block by proarrhythmic agents. (Class of assay: confirmatory) [Related pubchem assays: 1511 (Primary HTS assay for 305616 compounds.)]
CHEMBL1034538,111,111,Inhibition,2009.0,9,HEK293,Inhibition of human ERG expressed in HEK293 cells assessed as blockade of KCl-stimulated depolarization relative to terfenadine
CHEMBL3855279,110,94,IC50|pIC50,2016.0,9,HEK293,Inhibition of human ERG transfected in HEK293 cells assessed as reduction in tail current by patch clamp assay
CHEMBL1107671,105,54,IC50,2010.0,9,,Displacement of [3H]dofetidile from human ERG by scintillation proximity assay
CHEMBL3776609,104,65,IC50|pIC50,2016.0,9,HEK293,Inhibition of human ERG tail current expressed in HEK293 cells after 5 mins by patch clamp assay
CHEMBL5732169,102,26,IC50|k_off|kon,2019.0,9,,"Determination of a Possible Activity on hERG: The hERG (human ether-A-go-go-related gene) channel corresponds to an important anti-target for potential new drugs since its inhibition may lead to sudden death. In order to establish whether the compounds of the present invention act on hERG, the following experiment was carried out.The in vitro effects of the compounds indicated in Table 5 on the hERG potassium channel current (a surrogate for Iκr, the rapidly activating, delayed rectifier cardiac potassium current) expressed in mammalian cells were evaluated at room temperature using the QPatch HT® (Sophion Bioscience A/S, Denmark), an automatic parallel patch clamp system. Each compound indicated in Table 5 was evaluated at 0.1, 1, 3, 10 and 30 μM with each concentration tested in a minimum of two cells (n≥2). The duration of exposure to each compound concentration was 3 minutes. A summary of the results is shown in Table 5. The positive control (E4031) confirmed the sensitivity of the test system to hERG inhibition (98.6% of inhibition at 0.5 μM). Generally, compounds displaying an IC50> about 0.5 μM are regarded as not acting on hERG and thus as safe."
CHEMBL5738076,93,31,IC50|k_off|kon,2022.0,9,,"hERG Electrophysiological Assay: Electrophysiological recordings (all performed at RT) from stably transfected CHO hKv11.1 cells were obtained using the Nanion Syncropatch 768PE. Test compounds, vehicle or positive controls were added with 6 compound plates each at a different concentration to allow cumulative dosing onto cells (10 mM, 3.167 mM, 1 mM, 0.3167 mM, 0.1 mM, 0.03167 mM). 600 Figure US11325906-20220510-P00001of compound is resuspended into 90 μl of reference buffer (in mM, NaCl 80, KCL 4, CaCl 5, MgCl 1, NMDG Cl 60, D-Glucose monohydrate 5, HEPES 10 (pH7.4 HCL, 298 mOsm) for a final compound concentration of 39.6 μM, 13.2 μM, 4.4 μM, 1.46 μM, 0.48 μM, 0.16 μM. For each Nanion Syncropatch 768PE run, the current amplitude in each cell in the presence of extracellular solution (in mM, NaCl 80, KCL 4, CaCl 5, MgCl 1, NMDG Cl 60, D-Glucose monohydrate 5, HEPES 10 (pH7.4 HCL, 298 mOsm) is measured with all liquid additions performed using the Syncropatch liquid handling system. Add 40 μL external solution (in mM, HBPS, CaCl2 2, MgCl2 1 (pH7.4, NaOH) to 384 well multihole medium resistance recording chip and perfuse internal buffer (in mM, KF 130, KCl 20, MgCl2 1, EGTA 10, HEPES 10, Escin 25 (all Sigma-Aldrich; pH 7.2-7.30 using 10 M KOH, 320 mOsm) to the underside of plate. Dispense 20 μL of cells at a density of 1e6 cells/ml maintained at 9° C. into each well of the chip followed by 20 μL of seal enhancer (in mM, NaCl 80, KCl 3, CaCl 10, HEPES 10, MgCl 1 (pH7.4 NaOH). Perform wash step leaving a residual volume of 40 μL. Dispense 40 μL of reference buffer to establish a stable baseline prior to the addition of test compounds, with a removal step of 40 μL after 3 min, repeat this step. Dispense 40 μL of compound concentration 1 (0.16 μM), real time recordings for 3 min exposure prior to removal of 40 μL. This step is repeated for 5 further subsequent compound plates to generate cumulative curve analysis. All data is leak subtracted, 2 pulses to −80 mV 100 ms with 100 ms delay. Outward K+ currents are then evoked by voltage step to +60 mV from a holding potential of −90 mV, Each pulse is delivered at a frequency of 2 Hz with a 15 s pulse interval."
CHEMBL5738581,84,27,IC50|k_off|kon,2022.0,9,,"Selectivity on hERG Channel : Confirmation of interaction with the potassium channels of the compounds of the invention listed in the following Table 1 and of the comparison compound C was made by means of the automated whole-cell patch clamp test described in Mathes, C. (2006), Expert Opin. Ther. Targets, 10 (2): 230-241 using the recombinant human cell line CHO-K1, which stably expresses the hERG ion channel.The IC50 values (concentration causing a half maximal inhibition of control specific activity) were determined at five concentrations ranging from 100 μM to 10 nM with ten-fold dilutions in duplicate.The degree of inhibition (%) was obtained by measuring the tail current amplitude, which is induced by a one second test pulse to −40 mV after a two second pulse to +20 mV, before and after drug incubation (the difference current was normalized to control and multiplied by 100 to obtain the percent of inhibition). Concentration (log) response curves were fitted to a logistic equation (three parameters assuming complete block of the current at very high test compound concentrations) to generate estimates of the 50% inhibitory concentration (IC50)."
CHEMBL948183,82,82,IC50|pIC50,2008.0,9,,Displacement of [3H]Dofetilide from human ERG
CHEMBL5735869,81,27,IC50|k_off|kon,2020.0,9,,"Evaluation of Activity for Inhibiting hERG Channel : The activity of the present compound for inhibiting hERG channel was measured by whole-cell patch clamp method with auto patch clamp system, using CHO cell wherein hERG channel involved in human rapidly activating delayed rectifier potassium current (IKr) was forcibly expressed.(Preparation of Cell Suspension)hERG-CHO cell purchased from ChanTest was incubated at 37° C. in a CO2 incubator, and the cell was exfoliated from the flask with trypsin to prepare a cell suspension, shortly before the hERG current measurement.(Preparation of Solution)The extracellular fluid and intracellular fluid which were used in the measurement were prepared as follows.Extracellular fluid: 2 mmol/L CaCl2, 1 mmol/L MgCl2, 10 mmol/L HEPES, 4 mmol/L KCl, 145 mmol/L NaCl, 10 mmol/L glucoseIntracellular fluid: 5.4 mmol/L CaCl2, 1.8 mmol/L MgCl2, 10 mmol/L HEPES, 31 mmol/L KOH, 10 mmol/L EGTA, 120 mmol/L KCl, 4 mmol/L Na2-ATPTest compound solution: The test compound was dissolved in DMSO by adjusting the concentration to 2 mmol/L or 20 mmol/L to prepare each test compound solution. Further, the test compound solution was diluted with the extracellular fluid by 200-fold, which was serially diluted with the extracellular fluid to prepare each concentration of the test compound solution which is used to calculate IC50 value of hERG inhibition."
CHEMBL3297246,81,81,Inhibition,2014.0,9,CHO,Inhibition of human cloned ERG expressed in CHO cells assessed as inhibition of potassium channel current at 1 uM by automated patch clamp assay
CHEMBL1120719,75,75,Ki,2010.0,9,HEK293,Displacement of [3H]dofetilide from human ERG expressed in HEK293 cells
CHEMBL5737001,75,22,IC50|k_off|kon,2021.0,9,,"Safety Test: The effect of test compounds on hERG potassium channel were determined using Predictor hERG Fluorescence Polarization Assay at concentrations of 3, 10, and 30 μM."
CHEMBL829152,73,73,IC50,2005.0,8,,Inhibitory concentration against potassium channel HERG
